date,fund,ticker,weight
2022-09-02,Combined Max-Sharpe,ADA-USD,0.004760814218214257
2022-10-04,Combined Max-Sharpe,ADA-USD,0.003643664812483648
2021-09-02,Combined Max-Sharpe,ADBE,0.06481138698823233
2021-02-03,Combined Max-Sharpe,AMD,0.0265715834764016
2021-07-06,Combined Max-Sharpe,AMD,0.016764709620479754
2021-08-04,Combined Max-Sharpe,AMD,0.05473068940019608
2021-09-02,Combined Max-Sharpe,AMD,0.018218871488665245
2021-10-04,Combined Max-Sharpe,AMD,0.04666609657155434
2021-11-02,Combined Max-Sharpe,AMD,0.0712821792431031
2021-12-02,Combined Max-Sharpe,AMD,0.06742208771999617
2022-01-03,Combined Max-Sharpe,AMD,0.0049872850613112045
2022-07-06,Combined Max-Sharpe,AMGN,0.007823942340299737
2022-08-04,Combined Max-Sharpe,AMGN,0.002566934981785008
2022-11-02,Combined Max-Sharpe,AMGN,0.04829442653282415
2022-12-02,Combined Max-Sharpe,AMGN,0.09043734740860448
2023-01-04,Combined Max-Sharpe,AMGN,0.059182370679474725
2023-09-06,Combined Max-Sharpe,AMGN,0.0037147907151264224
2023-10-05,Combined Max-Sharpe,AMGN,0.04978147841040659
2023-12-05,Combined Max-Sharpe,AMGN,0.004447881034945274
2021-01-04,Combined Max-Sharpe,BTC-USD,0.1
2021-02-03,Combined Max-Sharpe,BTC-USD,0.1
2021-03-05,Combined Max-Sharpe,BTC-USD,0.09999999999999999
2021-04-06,Combined Max-Sharpe,BTC-USD,0.1
2021-05-05,Combined Max-Sharpe,BTC-USD,0.1
2021-06-04,Combined Max-Sharpe,BTC-USD,0.0818318909613689
2021-07-06,Combined Max-Sharpe,BTC-USD,0.07474862118371012
2021-08-04,Combined Max-Sharpe,BTC-USD,0.09372605141003033
2021-09-02,Combined Max-Sharpe,BTC-USD,0.07906418297084335
2021-10-04,Combined Max-Sharpe,BTC-USD,0.0817703401529807
2021-11-02,Combined Max-Sharpe,BTC-USD,0.09999999999999935
2021-12-02,Combined Max-Sharpe,BTC-USD,0.06121575338009877
2022-01-03,Combined Max-Sharpe,BTC-USD,0.044409030810305256
2022-02-02,Combined Max-Sharpe,BTC-USD,0.07652251062939712
2022-03-04,Combined Max-Sharpe,BTC-USD,0.1
2022-04-04,Combined Max-Sharpe,BTC-USD,0.08883390384196738
2022-05-04,Combined Max-Sharpe,BTC-USD,0.08393945431159226
2022-06-03,Combined Max-Sharpe,BTC-USD,0.0769409301874905
2022-07-06,Combined Max-Sharpe,BTC-USD,0.003248273111562232
2022-08-04,Combined Max-Sharpe,BTC-USD,0.006924303957939612
2023-02-03,Combined Max-Sharpe,BTC-USD,0.0011629517022380131
2023-07-07,Combined Max-Sharpe,BTC-USD,0.01281498980931923
2023-08-07,Combined Max-Sharpe,BTC-USD,0.010329328612820467
2023-11-03,Combined Max-Sharpe,BTC-USD,0.0404592971804289
2023-12-05,Combined Max-Sharpe,BTC-USD,0.03416648629844367
